name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,phone_number,secondary_filters_name,longitude,latitude,tipo_centro
Institut de Recerca Vall d'Hebron,Pg Vall d'Hebron,119.0,40.0,Montbau,7.0,Horta-Guinardó,8035.0,934894337,Universitats,41.42804943371883,2.1434499797388105,reglat
Servei de Desenvolupament del Medicament,Av Joan XXIII,27.0,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,93 402 45 46,Universitats,41.385407598236654,2.122169228198821,reglat
Unitat de Recerca en Informàtica Biomèdica,Passeig Marítim de la Barceloneta - Oriol Bohigas,37.0,3.0,la Barceloneta,1.0,Ciutat Vella,8003.0,93 224 03 02,Universitats,41.38562087271976,2.1960871806342315,reglat
Unitat d'Investigació Biofarmacèutica i Farmacocinètica,Av Joan XXIII,27.0,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,93 402 45 78,Universitats,41.38530880058172,2.1222064371428457,reglat
Universitat Progressista d'Estiu de Catalunya,Via Laietana,16.0,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,8003.0,,Universitats,41.38349672051972,2.1795376304761573,reglat
Centre de Postgrau de les EUTSES,C Santaló,37.0,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,8021.0,934152551,Universitats,41.39559126396927,2.1457682502398017,reglat
Institut Consell de Cent,C Carrera,25.0,11.0,el Poble-sec,3.0,Sants-Montjuïc,8004.0,934424048,Educació secundària,41.37311123089073,2.17441647138149,reglat
Institut Consell de Cent,C Carrera,25.0,11.0,el Poble-sec,3.0,Sants-Montjuïc,8004.0,934424048,Formació professional,41.37311123089073,2.17441647138149,reglat
Centre Educatiu Eixample Clínic,Carrer de la Diputació,231.0,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,8007.0,934518710,Formació professional,41.387813232150094,2.163425597556379,reglat
Laboratori d'Enginyeria Marítima,C Jordi Girona,1.0,21.0,Pedralbes,4.0,Les Corts,8034.0,93 401 64 68,Universitats,41.38930399355781,2.115789578332347,reglat
Centre Educatiu Ramon Llull,C Biscaia,439.0,62.0,el Congrés i els Indians,9.0,Sant Andreu,8027.0,933518956,Ensenyament infantil (3-6 anys),41.42068244817662,2.1818416169469894,reglat
Centre Educatiu Ramon Llull,C Biscaia,439.0,62.0,el Congrés i els Indians,9.0,Sant Andreu,8027.0,933518956,Educació primària,41.42068244817662,2.1818416169469894,reglat
Centre Educatiu Ramon Llull,C Biscaia,439.0,62.0,el Congrés i els Indians,9.0,Sant Andreu,8027.0,933518956,Educació secundària,41.42068244817662,2.1818416169469894,reglat
"Centre de Recerca i Investigació de Catalunya, S.A.",C Margalló,12.0,22.0,"Vallvidrera, el Tibidabo i les Planes",5.0,Sarrià-Sant Gervasi,8017.0,93 204 99 22,Universitats,41.42553674649396,2.094850391129139,reglat
Escola La Mar Bella,Pl Sant Bernat Calbó,2.0,68.0,el Poblenou,10.0,Sant Martí,8005.0,932252838,Ensenyament infantil (3-6 anys),41.39973789141123,2.2046777632789207,reglat
