district_code,district_name,income,genre,age,occupation,house_members,has_connection,has_connection_bcn,level_of_education,house_devices,longitude,latitude,educational_ocupational_index,educational_ocupational_index_district
8,Nou Barris,1,2,54,1,2,1,0,5,4.0,2.1752863,41.4261352,1.0,0.5367971980868633
2,Eixample,3,2,25,1,4,1,0,5,9.0,2.1762714,41.4620257,1.0,0.8878823968558166
4,Les Corts,4,2,44,1,4,1,0,5,4.0,2.1401523,41.3862553,1.0,0.9253424656411553
10,Sant Martí,4,1,29,1,1,1,0,3,2.0,2.189459,41.3925248,0.8085287226283844,0.7909123076143924
2,Eixample,5,2,46,1,4,1,1,5,7.0,2.166956,41.3965328,1.0,0.8878823968558166
10,Sant Martí,4,1,22,1,4,1,0,5,8.0,2.2055396,41.4001731,1.0,0.7909123076143924
2,Eixample,5,1,51,1,5,1,6,5,12.0,2.1701037,41.4015585,1.0,0.8878823968558166
10,Sant Martí,4,1,86,3,2,2,0,2,0.0,2.2024794,41.4049976,0.6000001151705147,0.7909123076143924
2,Eixample,3,1,39,1,3,1,4,5,7.0,2.1450129,41.3892721,1.0,0.8878823968558166
2,Eixample,3,1,76,3,4,2,0,4,4.0,2.160569,41.3822419,1.0,0.8878823968558166
6,Gràcia,3,2,53,1,4,1,0,5,7.0,2.1511732,41.4100211,1.0,0.8773520558287237
6,Gràcia,3,2,43,1,3,1,0,4,4.0,2.1484468,41.4102226,1.0,0.8773520558287237
9,Sant Andreu,2,2,19,5,2,1,4,3,4.0,2.1856242,41.42991,1.0,0.6710875151380777
9,Sant Andreu,2,1,20,5,3,1,0,3,7.0,2.1930144,41.4260944,1.0,0.6710875151380777
4,Les Corts,4,2,79,3,1,1,6,5,3.0,2.1140459,41.3779569,1.0,0.9253424656411553
6,Gràcia,4,1,26,1,1,1,6,3,4.0,2.1569221,41.4020458,1.0,0.8773520558287237
9,Sant Andreu,2,1,52,1,4,1,0,5,8.0,2.1896231,41.4307707,1.0,0.6710875151380777
5,Sarrià - Sant Gervasi,5,1,76,3,2,1,0,5,4.0,2.1283574,41.3964745,1.0,0.9710576839202464
8,Nou Barris,1,2,47,1,3,1,0,4,3.0,2.1617242,41.4010737,1.0,0.5367971980868633
8,Nou Barris,1,2,37,2,3,1,0,5,5.0,2.1768579,41.4621445,1.0,0.5367971980868633
2,Eixample,3,1,41,1,1,1,1,5,5.0,2.1840851,41.4053677,1.0,0.8878823968558166
9,Sant Andreu,2,1,72,3,2,1,0,3,4.0,2.1882106,41.4167842,0.20000443224062472,0.6710875151380777
9,Sant Andreu,1,1,58,3,4,1,0,2,5.0,2.204656,41.4369241,0.00014804209300607466,0.6710875151380777
3,Sants - Montjuïc,2,1,26,1,1,1,6,4,6.0,2.1342964,41.370195,1.0,0.7650847388191471
9,Sant Andreu,2,1,48,1,1,1,0,5,4.0,2.1866062,41.434178,1.0,0.6710875151380777
5,Sarrià - Sant Gervasi,5,1,44,1,5,1,0,5,10.0,2.1441593,41.3983849,1.0,0.9710576839202464
6,Gràcia,4,1,32,2,2,1,0,4,2.0,2.13888,41.4037157,1.0,0.8773520558287237
10,Sant Martí,4,2,54,1,4,1,0,2,7.0,2.1985193,41.3977744,0.6004025353017798,0.7909123076143924
9,Sant Andreu,1,1,52,2,2,1,0,5,5.0,2.2281092,41.4159558,1.0,0.6710875151380777
8,Nou Barris,1,2,43,2,4,1,0,2,3.0,2.1860633,41.4496385,0.006296972712593978,0.5367971980868633
9,Sant Andreu,2,1,47,1,4,1,0,5,9.0,2.1866313,41.4225262,1.0,0.6710875151380777
5,Sarrià - Sant Gervasi,5,2,59,3,1,1,6,3,3.0,2.1443698,41.4047171,0.8001153240523526,0.9710576839202464
5,Sarrià - Sant Gervasi,5,2,50,1,4,1,0,5,12.0,2.1433005,41.4027976,1.0,0.9710576839202464
4,Les Corts,4,1,46,1,4,1,0,5,9.0,2.1156308,41.3774469,1.0,0.9253424656411553
8,Nou Barris,1,2,31,2,4,1,0,2,2.0,2.1343377,41.3719868,0.1264790260783681,0.5367971980868633
6,Gràcia,4,1,82,3,2,2,0,2,1.0,2.1533682,41.4003744,0.6000003472111011,0.8773520558287237
10,Sant Martí,4,2,16,1,1,1,0,5,2.0,2.2022415,41.4053128,1.0,0.7909123076143924
5,Sarrià - Sant Gervasi,5,2,52,1,1,1,0,5,3.0,2.133422,41.4031075,1.0,0.9710576839202464
6,Gràcia,4,2,16,5,3,1,0,2,8.0,2.1566317,41.3969217,1.0,0.8773520558287237
4,Les Corts,4,1,48,99,3,1,0,3,5.0,2.1402645,41.3865964,0.601804107249499,0.9253424656411553
8,Nou Barris,1,2,39,1,4,1,0,5,4.0,2.1746369,41.4260378,1.0,0.5367971980868633
8,Nou Barris,1,2,27,4,4,1,4,3,5.0,2.1667406,41.4306116,0.343805723632987,0.5367971980868633
6,Gràcia,4,1,47,2,3,1,0,5,3.0,2.1601779,41.4085309,1.0,0.8773520558287237
1,Ciutat Vella,3,2,20,1,4,1,5,4,5.0,2.1798047,41.3868267,1.0,0.8158578144146168
9,Sant Andreu,2,1,47,2,3,1,0,3,3.0,2.192623,41.4314283,0.2023165053351537,0.6710875151380777
9,Sant Andreu,2,2,82,3,1,2,0,4,0.0,2.1856295,41.437495,1.0,0.6710875151380777
2,Eixample,3,2,35,1,3,1,0,5,6.0,2.1452544,41.3850875,1.0,0.8878823968558166
6,Gràcia,3,2,43,1,3,1,5,3,6.0,2.1644875,41.4019012,0.406296992584296,0.8773520558287237
10,Sant Martí,2,2,18,5,4,1,5,3,10.0,2.1772251,41.4127853,1.0,0.7909123076143924
1,Ciutat Vella,2,1,36,1,1,1,6,5,4.0,2.1742398,41.3788851,1.0,0.8158578144146168
7,Horta - Guinardó,2,1,32,1,2,1,0,5,5.0,2.1454465,41.4218262,1.0,0.7287387223780619
5,Sarrià - Sant Gervasi,5,1,55,1,4,1,0,5,11.0,2.1303146,41.4123948,1.0,0.9710576839202464
