name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_zip_code,phone_number,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,longitude,latitude,estimated_dates,tipo_centro
What’s Up! Barcelona *Berlín,Carrer de Berlín,16,18,Sants,8014,93 199 20 12,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.3825004522726,2.1377456645795587,,no_reglat
Britannia School,Av Pau Casals,9,26,Sant Gervasi - Galvany,8021,932000100,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39340968178758,2.1427178731110663,,no_reglat
Acadèmia Netmind *Bruc,C Bruc,29,7,la Dreta de l'Eixample,8010,933041720,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.39115766650774,2.173589740189036,,no_reglat
Centre de Formació d'Adults CETUC,C Almogàvers,68,66,el Parc i la Llacuna del Poblenou,8018,933009879,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.39507293209267,2.1874727721896017,,no_reglat
Escola Oxford House,C Diputació,279,7,la Dreta de l'Eixample,8007,931740062,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39136002414751,2.1681083268995223,,no_reglat
Acadèmia d'Anglès BeKith,Carrer de l'Arc de Sant Cristòfol,11,4,"Sant Pere, Santa Caterina i la Ribera",8003,934 817 475​,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.387636028001225,2.1789061364446507,,no_reglat
Welcome Language School,C Casals i Cuberó,220,51,Verdun,8042,933536457,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.44145473355173,2.175670774653468,,no_reglat
Escola Berlitz *Avinguda Diagonal,Av Diagonal,382,7,la Dreta de l'Eixample,8037,932150100,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39910011418824,2.1687395819177056,,no_reglat
What’s Up! Barcelona * Rambla de Catalunya,Rambla de Catalunya,53,7,la Dreta de l'Eixample,8007,93 595 14 14,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39060268381726,2.163824383788519,,no_reglat
L'Aula Sants Formació,Riego,5,18,Sants,8014,934324183,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37576396803951,2.1383054381569684,,no_reglat
L'Aula Sants Formació,Riego,5,18,Sants,8014,934324183,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.37576396803951,2.1383054381569684,,no_reglat
Escola Espai,Carrer d'Entença,178,9,la Nova Esquerra de l'Eixample,8029,93 163 53 53,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.38427089148227,2.1447005895933424,,no_reglat
Idiomes Tarradellas,Av Josep Tarradellas,96,9,la Nova Esquerra de l'Eixample,8029,934053982,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38883867559899,2.143544175417106,,no_reglat
La Acadèmia de les Corts,Numància,98,19,les Corts,8029,933213659,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38588836081382,2.137046420390808,,no_reglat
La Acadèmia de les Corts,Numància,98,19,les Corts,8029,933213659,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.38588836081382,2.137046420390808,,no_reglat
